FID,lga_name,community,lat,lon,power_system,power_kw,status,number_of_connections,fund_type,project,owner,condition,located,geom
minigrids.1,Ovia South West,Adebayo,6.40228,5.10888,Solar Hybrid,100,Under Construction,,Debt; Equity;Grant,REA,ACOB,Non operational,Maybe,POINT (568717.9201239408 714186.324148061)
minigrids.2,Buji,Ahoto,11.6386336,9.793645,Solar,,Existing,,,US NGO Solar Electric Light Fund -SELF,Electric Light Fund-SELF,Operational,Yes,POINT (1090223.5744100884 1304609.856751389)
minigrids.3,Ogbia,Akipelai,4.6302917,6.3391667,Solar Hybrid,67,Existing,,Debt; Equity;Grant,REA-NEP-WB,Renewvia Energy Cooperation,Operational,Yes,POINT (705672.8090976772 516003.67969697114)
minigrids.4,Onna,Akpabom,4.5847945,7.8351848,Solar Hybrid,80,Existing,440,Debt; Equity;Grant,"GVE;Akwa Ibom Govt; REA-REF, All On, ElectriFI",GVE& Akwa Ibom,Operational,Yes,POINT (872208.7822071963 510922.5337445877)
minigrids.5,Shendan,Angwan Rina,8.6840883,9.4717572,Solar,53,Existing,346,Equity; Grant,GVE;EU NESP,GVE & Plateau  Govt,Operational,Yes,POINT (1054391.1884215218 970430.928081929)
minigrids.6,Biliri,Ayaba,9.8046459,11.0391559,Solar,18,Existing,250,Equity; Grant,BoI;UNDP;GVE,GVE,Operational,Yes,POINT (1228873.2135755615 1096814.3702203953)
minigrids.7,Batagarawa,Bambami,12.9138549,7.5613157,Solar,30,Under Construction,300,Equity; Grant,REA-REF,IBK Services Limited,Non Operational,Yes,POINT (841721.8134511857 1449892.100612457)
minigrids.9,Katcha,Bisanti,9.3287541,6.2125327,Solar,38,Existing,350,Debt;Grant,BoI;UNDP;IEEE,GVE,Operational,Yes,POINT (691575.9767005601 1043091.0350396868)
minigrids.10,Itesiwaju,Budo Are,8.3449155,3.2505206,Solar Hybrid,100,Under Construction,,,REA;REF,Havenhill,Non Operational,Yes,POINT (361846.2980050471 932253.5521008822)
minigrids.11,Markafi,Charwa/Chakun,11.374723,7.8814737,Solar,24,Existing,,,BoI;UNDP,Anergy Solar,Operational,Yes,POINT (877361.6389845778 1274628.8607732903)
minigrids.12,Dakkiti,Dakkiti,9.4274946,11.739378,Solar Hybrid,85,Under Construction,506,Equity;Grant,REA-REF,Leading Diagonal Engineering LTD,Non Operational,No,POINT (1306821.5811897572 1054231.6795190163)
minigrids.13,Shendan,Demshin,8.6879578,9.4465548,Solar,53,Existing,352,Equity;Grant,GVE;EU NESP,GVE & Plateau  Govt,Operational,Yes,POINT (1051585.6700867536 970866.6765569901)
minigrids.14,Shendan,Demshin,8.6877,9.4461,Solar,53,Existing,352,Equity;Grant,GVE;EU NESP,GVE & Plateau  Govt,Operational,Yes,POINT (1051535.041982341 970837.6452873658)
minigrids.15,Wamako,Dundaye,13.1347641,5.22509,Solar,10,Existing,,,WB;Sokoto Government,SERC (Sokoto Energy Research Centre),Operational,Yes,POINT (581654.3581490264 1475132.9497185675)
minigrids.16,Etche,Egbeke (Upgraded),5.19,7.216,Solar,52,Existing,486,,GVE;Grant from IEEE USA; BoI;UNDP,GVE,Operational,Yes,POINT (803281.4455642614 578539.8721751616)
minigrids.17,Ikwo,Eka Awoke,6.0724852,8.1411001,Solar Hybrid,100,Existing,855,Debt; Equity;Grant,REA;REF,Cloud Energy,Operational,No,POINT (906263.1176290684 677255.0606193483)
minigrids.18,Ogoja,Esham,6.4438755,8.6882438,Solar,18,Existing,,,,,Non Operational,Yes,POINT (967170.8757038163 718845.9629603334)
minigrids.19,Shira,Gaza,11.4283874,10.1066208,Solar,18,Existing,,,,,Operational,Yes,POINT (1125063.8810967081 1280723.0179518089)
minigrids.20,Ilaje,Gbagira,5.9204441,4.9679926,Solar,15,Existing,18,Equity; Grant,PIND,A4&T Power Solutions,Operational,Yes,POINT (553034.406496752 660236.799629541)
minigrids.21,Ijebu East Central,Gbamu Gbamu,6.8475413,4.2126168,Solar Hybrid,85,Existing,,Debt;Equity; Grant,Rubitec;GIZ;Bettervest,Rubitec Solar,Operational,Yes,POINT (468946.3570831883 764085.9079088921)
minigrids.22,Kagarko,Gnami,9.3708639,7.3681596,Solar,40,Existing,100,,Huawei,Managed by the community,Operational,Yes,POINT (820219.7747555714 1047841.7911215286)
minigrids.23,Gamawa,Gololo,12.31586,10.6906,Solar,10,Existing,,,,,Operational,Yes,POINT (1190072.1482745707 1381676.5685531655)
minigrids.24,Paico,Goton Sarki,9.6634187,7.2398283,Solar,40,Existing,,Equity; Grant,REF;REA,AY Global,Operational,Yes,POINT (805933.9997867324 1080863.3831099635)
minigrids.25,Bwari,Igu,9.2778417,7.4720825,Solar,3,Existing,,,,,Operational,Yes,POINT (831788.4190653302 1037347.9502344267)
minigrids.28,Mashi,Kindigi,13.2138596,8.0219986,Solar,16,Existing,,,,,Operational,Yes,POINT (893004.7992963545 1484175.8188836311)
minigrids.8,Ningi,Bayan Fada,11.071636,9.572911,Solar Hybrid,8,Existing,,,,,Operational,Yes,POINT (1065651.5779293273 1240231.5303414837)
