FID,geom,source
modelled_grid_original.3396,"MULTILINESTRING ((856928.1703598177 1209669.950370845, 856000.5079291187 1210614.360206698, 855536.6767137692 1210142.152011506, 855536.6767137692 1209669.950370845))",gridfinder
modelled_grid_original.3397,"MULTILINESTRING ((529927.1635387512 1209197.7552820372, 529463.3323234017 1209669.950370845, 529463.3323234017 1210142.152011506))",openstreetmap
modelled_grid_original.3398,"MULTILINESTRING ((843013.2338993464 1211558.7962714012, 843477.0651146959 1211086.574959104, 843477.0651146959 1210142.152011506, 844404.7275453917 1209197.7552820372, 844868.558760741 1209669.950370845))",gridfinder
modelled_grid_original.3399,"MULTILINESTRING ((860174.9888672607 1209197.7552820372, 859711.1576519113 1209669.950370845, 856928.1703598177 1209669.950370845))",gridfinder
modelled_grid_original.3400,"MULTILINESTRING ((887541.0305728535 1209197.7552820372, 889860.1866495977 1211558.7962714012, 894034.6675877398 1211558.7962714012, 899600.6421719269 1217225.9646660632, 899600.6421719269 1217698.271500864, 901455.9670333248 1219587.5648411182, 901919.7982486741 1219587.5648411182, 903311.2918947195 1221004.6042225282))",gridfinder
modelled_grid_original.3401,"MULTILINESTRING ((739115.041661162 1208725.5667424032, 739115.041661162 1210614.360206698, 738187.3792304663 1211558.7962714012, 738187.3792304663 1212031.0241462681, 737723.5480151168 1212503.2585863865, 737723.5480151168 1213447.7471730963, 737259.7167997673 1213920.001325048, 737259.7167997673 1214864.5293595474, 736795.8855844178 1215336.8032474588, 736795.8855844178 1215809.0837193835, 736332.0543690685 1216281.3707780065, 736332.0543690685 1216753.6644260038, 735404.3919383695 1217698.271500864, 735404.3919383695 1218170.5849330872, 737723.5480151168 1220532.2511494348))",gridfinder
modelled_grid_original.3402,"MULTILINESTRING ((1269274.1208051026 1208725.5667424032, 1269274.1208051026 1209197.7552820372, 1269737.9520204521 1209669.950370845, 1269737.9520204521 1210614.360206698, 1270201.7832358016 1211086.574959104, 1270201.7832358016 1212031.0241462681, 1270665.614451151 1212503.2585863865, 1270665.614451151 1212975.4995944344))",openstreetmap
modelled_grid_original.3403,"MULTILINESTRING ((739115.041661162 1208253.384749268, 739115.041661162 1208725.5667424032))",gridfinder
modelled_grid_original.3404,"MULTILINESTRING ((739578.8728765115 1208253.384749268, 739115.041661162 1208253.384749268))",gridfinder
modelled_grid_original.3444,"MULTILINESTRING ((1209439.894025079 1200699.360997314, 1203410.0882255423 1206836.8780220444, 1203410.0882255423 1207309.0403917667, 1200627.1009334489 1210142.152011506, 1200627.1009334489 1210614.360206698, 1198771.776072051 1212503.2585863865))",gridfinder
modelled_grid_original.3405,"MULTILINESTRING ((739578.8728765115 1208253.384749268, 740970.3665225599 1208253.384749268, 741434.1977379093 1208725.5667424032, 741898.0289532588 1208725.5667424032, 742361.8601686051 1209197.7552820372, 742825.6913839545 1209197.7552820372, 747927.8347527955 1214392.2620529719, 747927.8347527955 1215336.8032474588, 748391.6659681449 1215809.0837193835, 748391.6659681449 1216281.3707780065, 749783.1596141901 1217698.271500864, 750246.9908295396 1217698.271500864, 751638.484475588 1219115.2316005302, 751638.484475588 1219587.5648411182, 752102.3156909375 1220059.9046898575, 752102.3156909375 1222894.0827037701, 752566.1469062837 1223366.4688847158))",gridfinder
modelled_grid_original.3406,"MULTILINESTRING ((860174.9888672607 1209197.7552820372, 861102.6512979597 1210142.152011506, 861566.4825133058 1210142.152011506, 862030.3137286555 1210614.360206698, 862957.9761593543 1210614.360206698, 864813.301020749 1208725.5667424032, 865277.1322360984 1208725.5667424032, 865740.9634514479 1208253.384749268, 868060.119528192 1208253.384749268, 870843.1068202887 1211086.574959104))",gridfinder
modelled_grid_original.3407,"MULTILINESTRING ((970102.9869049785 1206836.8780220444, 970566.8181203281 1206836.8780220444, 972885.9741970754 1209197.7552820372))",gridfinder
modelled_grid_original.3408,"MULTILINESTRING ((1146822.6799529588 1206836.8780220444, 1147750.3423836578 1207781.2092999467, 1148214.173599007 1207781.2092999467, 1150069.498460405 1209669.950370845, 1150069.498460405 1210142.152011506, 1152388.6545371492 1212503.2585863865, 1152388.6545371492 1212975.4995944344, 1152852.4857524985 1213447.7471730963, 1152852.4857524985 1213920.001325048, 1153316.316967848 1214392.2620529719, 1153316.316967848 1215809.0837193835, 1153780.1481831945 1216281.3707780065, 1153780.1481831945 1216753.6644260038, 1154707.8106138934 1217698.271500864, 1154707.8106138934 1218170.5849330872))",gridfinder
modelled_grid_original.3409,"MULTILINESTRING ((957579.5440905557 1206364.722188106, 956188.0504445105 1207781.2092999467, 956188.0504445105 1208253.384749268, 954796.5567984622 1209669.950370845, 954796.5567984622 1212031.0241462681))",gridfinder
modelled_grid_original.3410,"MULTILINESTRING ((957579.5440905557 1206364.722188106, 958043.3753059054 1206836.8780220444, 959434.8689519536 1206836.8780220444, 959898.7001673 1207309.0403917667, 960826.3625979989 1207309.0403917667, 961290.1938133483 1207781.2092999467, 961754.0250286978 1207781.2092999467, 962217.8562440472 1208253.384749268, 962681.6874593968 1208253.384749268, 964073.1811054419 1209669.950370845, 964537.0123207914 1209669.950370845, 965000.8435361407 1210142.152011506, 965928.5059668397 1210142.152011506, 966392.3371821892 1210614.360206698, 966856.1683975356 1210614.360206698, 967319.999612885 1211086.574959104, 967783.8308282346 1211086.574959104, 968711.4932589334 1210142.152011506, 971958.3117663764 1210142.152011506, 972885.9741970754 1209197.7552820372))",gridfinder
modelled_grid_original.3411,"MULTILINESTRING ((997005.1973952252 1206364.722188106, 997005.1973952252 1208725.5667424032, 996077.5349645262 1209669.950370845, 996077.5349645262 1212503.2585863865, 996541.3661798758 1212975.4995944344))",gridfinder
modelled_grid_original.3412,"MULTILINESTRING ((1146822.6799529588 1206364.722188106, 1146822.6799529588 1206836.8780220444))",gridfinder
modelled_grid_original.3413,"MULTILINESTRING ((1147286.511168308 1206364.722188106, 1146822.6799529588 1206364.722188106))",gridfinder
modelled_grid_original.3414,"MULTILINESTRING ((836983.4280998097 1205892.5728872723, 836519.5968844603 1206364.722188106, 836055.7656691108 1206364.722188106, 835591.9344537614 1205892.5728872723, 835128.1032384118 1205892.5728872723))",gridfinder
modelled_grid_original.3415,"MULTILINESTRING ((836983.4280998097 1205892.5728872723, 837911.0905305056 1206836.8780220444, 837911.0905305056 1207309.0403917667, 838374.921745855 1207781.2092999467, 838838.7529612045 1207781.2092999467))",gridfinder
modelled_grid_original.3416,"MULTILINESTRING ((861102.6512979597 1205892.5728872723, 860638.8200826101 1206364.722188106, 860638.8200826101 1207781.2092999467, 860174.9888672607 1208253.384749268, 860174.9888672607 1209197.7552820372))",gridfinder
modelled_grid_original.3417,"MULTILINESTRING ((997005.1973952252 1205892.5728872723, 996541.3661798758 1205892.5728872723))",gridfinder
modelled_grid_original.3418,"MULTILINESTRING ((997005.1973952252 1205892.5728872723, 997005.1973952252 1206364.722188106))",gridfinder
modelled_grid_original.3419,"MULTILINESTRING ((1269274.1208051026 1205892.5728872723, 1269274.1208051026 1206364.722188106, 1270201.7832358016 1207309.0403917667, 1270201.7832358016 1207781.2092999467, 1269274.1208051026 1208725.5667424032))",openstreetmap
modelled_grid_original.3420,"MULTILINESTRING ((532710.1508308448 1205420.430116867, 531318.6571847996 1206836.8780220444, 531318.6571847996 1207309.0403917667, 530854.8259694501 1207781.2092999467, 530854.8259694501 1208253.384749268, 529927.1635387512 1209197.7552820372))",openstreetmap
modelled_grid_original.3421,"MULTILINESTRING ((532710.1508308448 1205420.430116867, 534565.4756922426 1207309.0403917667, 535493.1381229383 1207309.0403917667, 535956.9693382878 1207781.2092999467))",gridfinder
modelled_grid_original.3422,"MULTILINESTRING ((816574.8546244523 1205420.430116867, 815183.3609784041 1206836.8780220444, 815183.3609784041 1207309.0403917667, 814719.5297630546 1207781.2092999467, 814719.5297630546 1208253.384749268, 814255.6985477052 1208725.5667424032, 814255.6985477052 1210142.152011506, 813791.8673323556 1210614.360206698, 813328.0361170094 1210614.360206698, 812864.2049016599 1211086.574959104))",gridfinder
modelled_grid_original.3423,"MULTILINESTRING ((1239125.0918074162 1205420.430116867, 1239125.0918074162 1208253.384749268, 1244227.235176257 1213447.7471730963, 1244691.0663916066 1213447.7471730963, 1250720.8721911432 1219587.5648411182, 1251184.7034064927 1219587.5648411182, 1251648.5346218422 1220059.9046898575, 1252112.3658371915 1220059.9046898575, 1252576.197052538 1220532.2511494348, 1254431.521913936 1220532.2511494348, 1254895.3531292852 1221004.6042225282, 1254895.3531292852 1221949.3302200104, 1255359.1843446346 1222421.7031497643, 1256750.6779906799 1222421.7031497643, 1257678.3404213788 1223366.4688847158, 1258142.1716367283 1223366.4688847158, 1258606.0028520776 1223838.8616952815, 1259533.6652827733 1223838.8616952815, 1260461.3277134723 1224783.6672160192, 1260925.1589288218 1224783.6672160192, 1261852.8213595208 1225728.4992874581, 1262316.6525748703 1225728.4992874581, 1264171.977436265 1223838.8616952815, 1264635.8086516145 1223838.8616952815, 1265099.639866964 1224311.2611381554))",openstreetmap
modelled_grid_original.3424,"MULTILINESTRING ((816111.023409103 1204948.2938742074, 815647.1921937534 1204948.2938742074))",gridfinder
modelled_grid_original.3425,"MULTILINESTRING ((816574.8546244523 1204948.2938742074, 816111.023409103 1204948.2938742074))",gridfinder
modelled_grid_original.3426,"MULTILINESTRING ((816574.8546244523 1204948.2938742074, 816574.8546244523 1205420.430116867))",gridfinder
modelled_grid_original.3427,"MULTILINESTRING ((817038.6858397988 1204948.2938742074, 816574.8546244523 1204948.2938742074))",gridfinder
modelled_grid_original.3428,"MULTILINESTRING ((817038.6858397988 1204948.2938742074, 817966.3482704976 1204948.2938742074, 822140.8292086397 1209197.7552820372, 827242.9725774775 1209197.7552820372, 828170.6350081764 1210142.152011506))",gridfinder
modelled_grid_original.3429,"MULTILINESTRING ((991903.0540263844 1204948.2938742074, 992830.7164570832 1205892.5728872723, 996541.3661798758 1205892.5728872723))",gridfinder
modelled_grid_original.3430,"MULTILINESTRING ((816574.8546244523 1204476.1641566216, 816574.8546244523 1204948.2938742074))",gridfinder
modelled_grid_original.3431,"MULTILINESTRING ((1143575.8614455156 1204004.040961433, 1145431.1863069136 1205892.5728872723, 1146358.8487376124 1205892.5728872723, 1146822.6799529588 1206364.722188106))",gridfinder
modelled_grid_original.3432,"MULTILINESTRING ((528535.6698927028 1203531.9242859588, 528999.5011080523 1204004.040961433, 528999.5011080523 1204476.1641566216, 529463.3323234017 1204948.2938742074, 529463.3323234017 1208725.5667424032, 529927.1635387512 1209197.7552820372))",openstreetmap
modelled_grid_original.3433,"MULTILINESTRING ((836519.5968844603 1202115.6133510843, 836519.5968844603 1203531.9242859588, 836983.4280998097 1204004.040961433, 836983.4280998097 1205892.5728872723))",gridfinder
modelled_grid_original.3434,"MULTILINESTRING ((749783.1596141901 1201643.5227277162, 749783.1596141901 1205420.430116867, 751174.6532602385 1206836.8780220444))",gridfinder
modelled_grid_original.3435,"MULTILINESTRING ((836983.4280998097 1201643.5227277162, 836519.5968844603 1202115.6133510843))",openstreetmap
modelled_grid_original.3436,"MULTILINESTRING ((836983.4280998097 1201643.5227277162, 838374.921745855 1203059.814127528, 838838.7529612045 1203059.814127528, 839766.4153919035 1204004.040961433, 839766.4153919035 1204476.1641566216, 840230.2466072529 1204948.2938742074, 840230.2466072529 1205892.5728872723, 840694.0778226024 1206364.722188106, 840694.0778226024 1207781.2092999467, 841621.7402532981 1208725.5667424032, 841621.7402532981 1209669.950370845, 841157.9090379486 1210142.152011506))",openstreetmap
modelled_grid_original.3437,"MULTILINESTRING ((981698.7672887056 1201643.5227277162, 981234.9360733562 1202115.6133510843, 981234.9360733562 1203059.814127528, 980771.1048580067 1203531.9242859588, 980771.1048580067 1204004.040961433, 977524.2863505635 1207309.0403917667, 977060.4551352141 1207309.0403917667, 976132.7927045184 1208253.384749268, 975205.1302738196 1208253.384749268, 974741.29905847 1208725.5667424032, 973813.6366277711 1208725.5667424032, 973349.8054124248 1209197.7552820372, 972885.9741970754 1209197.7552820372))",gridfinder
modelled_grid_original.3438,"MULTILINESTRING ((1362040.3638749095 1201643.5227277162, 1362040.3638749095 1202115.6133510843, 1363431.857520958 1203531.9242859588, 1363895.6887363074 1203531.9242859588, 1367606.3384590999 1207309.0403917667, 1368070.1696744463 1207309.0403917667, 1371316.9881818893 1210614.360206698, 1371780.8193972388 1210614.360206698, 1375491.4691200312 1214392.2620529719, 1375955.3003353807 1214392.2620529719, 1379202.1188428237 1217698.271500864, 1379665.9500581732 1217698.271500864, 1381521.2749195679 1219587.5648411182, 1381985.1061349174 1219587.5648411182, 1384304.2622116648 1221949.3302200104, 1384768.093427014 1221949.3302200104, 1385695.7558577098 1222894.0827037701, 1386159.5870730593 1222894.0827037701, 1387551.0807191078 1224311.2611381554, 1388014.9119344573 1224311.2611381554, 1388942.574365153 1225256.079931558, 1389406.4055805022 1225256.079931558, 1390797.8992265507 1226673.3579310789, 1391261.7304419002 1226673.3579310789, 1392189.3928725962 1227618.2431683678, 1392653.2240879454 1227618.2431683678, 1394044.717733994 1229035.6209344247, 1394508.5489493434 1229035.6209344247, 1395436.211380039 1229980.5727498878, 1395900.0425953886 1229980.5727498878, 1397291.5362414368 1231398.0504839506, 1397755.3674567863 1231398.0504839506, 1398683.029887482 1232343.0690119236, 1399146.8611028315 1232343.0690119236, 1400074.5235335305 1233288.1142625224, 1400538.35474888 1233288.1142625224, 1401929.8483949252 1234705.7322903904, 1402393.6796102747 1234705.7322903904, 1403321.3420409735 1235650.8444416465, 1403785.1732563232 1235650.8444416465, 1405176.6669023714 1237068.562921324, 1405640.4981177177 1237068.562921324, 1406568.1605484167 1238013.742107681, 1407031.9917637662 1238013.742107681, 1408423.4854098146 1239431.5612408733, 1408887.3166251606 1239431.5612408733, 1409814.9790558596 1240376.8075968262, 1410278.810271209 1240376.8075968262, 1411670.3039172576 1241794.7275853043, 1412134.1351326038 1241794.7275853043, 1413061.7975633028 1242740.0412453883, 1413525.6287786523 1242740.0412453883, 1414453.2912093513 1243685.3818648076, 1414917.1224247005 1243685.3818648076, 1424193.7467316804 1253140.2755619183, 1424193.7467316804 1253613.0914581055, 1425121.4091623793 1254558.7436585666, 1425121.4091623793 1255031.5799682317, 1426049.071593075 1255977.2730199178, 1426049.071593075 1256450.1297673318, 1426512.9028084246 1256922.9933327236, 1426512.9028084246 1257395.86371879, 1427440.5652391233 1258341.6249637369, 1427440.5652391233 1258814.5158280116, 1427904.396454473 1259287.4135237532, 1427904.396454473 1259760.3180536598, 1428368.2276698223 1260233.2294204293, 1428368.2276698223 1260706.1476267602, 1429295.890100518 1261652.004568903, 1429295.890100518 1262124.943310115, 1429759.7213158675 1262597.888901684, 1429759.7213158675 1263070.8413463116, 1430223.552531217 1263543.800646698, 1430223.552531217 1264016.7668055429, 1431151.214961916 1264962.719709408, 1431151.214961916 1265435.7064598298, 1431615.0461772655 1265908.7000795116, 1431615.0461772655 1266381.7005711559, 1432542.7086079612 1267327.7221811328, 1432542.7086079612 1267800.743304869, 1433006.5398233104 1268273.7713113741, 1433006.5398233104 1268746.8062033476))",openstreetmap
modelled_grid_original.3439,"MULTILINESTRING ((836519.5968844603 1201171.4386106862, 836055.7656691108 1201643.5227277162, 836519.5968844603 1202115.6133510843))",openstreetmap
modelled_grid_original.3440,"MULTILINESTRING ((836519.5968844603 1201171.4386106862, 836983.4280998097 1201643.5227277162))",openstreetmap
modelled_grid_original.3441,"MULTILINESTRING ((1362040.3638749095 1201171.4386106862, 1361576.53265956 1201171.4386106862))",openstreetmap
modelled_grid_original.3442,"MULTILINESTRING ((1362040.3638749095 1201171.4386106862, 1362040.3638749095 1201643.5227277162))",openstreetmap
modelled_grid_original.3443,"MULTILINESTRING ((621765.744177859 1200699.360997314, 626404.0563313505 1205420.430116867, 626867.8875466968 1205420.430116867, 630578.5372694894 1209197.7552820372, 630578.5372694894 1215809.0837193835, 629650.8748387937 1216753.6644260038))",gridfinder
modelled_grid_original.3445,"MULTILINESTRING ((1209439.894025079 1200699.360997314, 1209903.7252404287 1201171.4386106862, 1210367.556455778 1201171.4386106862))",gridfinder
modelled_grid_original.3446,"MULTILINESTRING ((582340.0908731928 1200227.2898849298, 581876.2596578433 1200699.360997314, 581876.2596578433 1201171.4386106862, 581412.4284424939 1201643.5227277162, 581412.4284424939 1202115.6133510843, 580948.5972271444 1202587.7104834607, 580948.5972271444 1203059.814127528, 580020.9347964455 1204004.040961433, 580020.9347964455 1204476.1641566216, 579557.103581096 1204948.2938742074, 579557.103581096 1205420.430116867, 578629.4411504003 1206364.722188106, 578629.4411504003 1207781.2092999467, 578165.6099350508 1208253.384749268, 578165.6099350508 1210142.152011506, 577701.7787197013 1210614.360206698, 577701.7787197013 1212503.2585863865, 578165.6099350508 1212975.4995944344, 578165.6099350508 1214864.5293595474, 577701.7787197013 1215336.8032474588, 577701.7787197013 1219587.5648411182, 579093.2723657466 1221004.6042225282, 579093.2723657466 1221476.9639118272, 579557.103581096 1221949.3302200104, 579557.103581096 1222421.7031497643))",gridfinder
modelled_grid_original.3447,"MULTILINESTRING ((582803.9220885391 1200227.2898849298, 582340.0908731928 1200227.2898849298))",gridfinder
modelled_grid_original.3448,"MULTILINESTRING ((582803.9220885391 1200227.2898849298, 585123.0781652865 1200227.2898849298, 588369.8966727295 1203531.9242859588))",gridfinder
modelled_grid_original.3449,"MULTILINESTRING ((836055.7656691108 1200227.2898849298, 836519.5968844603 1200699.360997314, 836519.5968844603 1201171.4386106862))",openstreetmap
modelled_grid_original.3450,"MULTILINESTRING ((582340.0908731928 1199755.2252708501, 582340.0908731928 1200227.2898849298))",gridfinder
modelled_grid_original.3451,"MULTILINESTRING ((739115.041661162 1199755.2252708501, 739115.041661162 1200699.360997314, 741434.1977379093 1203059.814127528))",gridfinder
modelled_grid_original.3452,"MULTILINESTRING ((746536.3411067472 1199755.2252708501, 746072.5098913977 1199755.2252708501))",gridfinder
modelled_grid_original.3453,"MULTILINESTRING ((746536.3411067472 1199755.2252708501, 747000.1723220965 1200227.2898849298, 747464.003537446 1200227.2898849298, 747927.8347527955 1200699.360997314, 748391.6659681449 1200699.360997314, 748855.4971834944 1201171.4386106862, 749319.3283988407 1201171.4386106862, 749783.1596141901 1201643.5227277162))",gridfinder
modelled_grid_original.3454,"MULTILINESTRING ((959898.7001673 1199755.2252708501, 959898.7001673 1201171.4386106862, 959434.8689519536 1201643.5227277162, 959434.8689519536 1202587.7104834607, 958971.0377366042 1203059.814127528, 958971.0377366042 1204004.040961433, 958507.2065212547 1204476.1641566216, 958507.2065212547 1204948.2938742074, 958043.3753059054 1205420.430116867, 958043.3753059054 1205892.5728872723, 957579.5440905557 1206364.722188106))",gridfinder
modelled_grid_original.3455,"MULTILINESTRING ((1263244.315005566 1199755.2252708501, 1262780.4837902165 1199755.2252708501))",gridfinder
modelled_grid_original.3456,"MULTILINESTRING ((1263244.315005566 1199755.2252708501, 1263708.1462209155 1200227.2898849298, 1263708.1462209155 1201171.4386106862, 1264171.977436265 1201643.5227277162, 1264171.977436265 1205420.430116867, 1265099.639866964 1206364.722188106, 1265563.4710823132 1206364.722188106, 1266027.3022976597 1206836.8780220444, 1266491.133513009 1206836.8780220444, 1267418.795943708 1207781.2092999467, 1267882.6271590574 1207781.2092999467, 1268346.458374407 1208253.384749268, 1268810.2895897564 1208253.384749268, 1269274.1208051026 1208725.5667424032))",openstreetmap
modelled_grid_original.3457,"MULTILINESTRING ((739115.041661162 1199283.1671524062, 738651.2104458157 1199283.1671524062))",gridfinder
modelled_grid_original.3458,"MULTILINESTRING ((739115.041661162 1199283.1671524062, 739115.041661162 1199755.2252708501))",gridfinder
modelled_grid_original.3459,"MULTILINESTRING ((746536.3411067472 1199283.1671524062, 746536.3411067472 1199755.2252708501))",gridfinder
modelled_grid_original.3460,"MULTILINESTRING ((862957.9761593543 1199283.1671524062, 862030.3137286555 1200227.2898849298, 861566.4825133058 1200227.2898849298, 861102.6512979597 1200699.360997314, 860638.8200826101 1200699.360997314, 860174.9888672607 1201171.4386106862, 859247.3264365616 1201171.4386106862, 858783.4952212123 1201643.5227277162, 858319.6640058628 1201643.5227277162, 857855.8327905134 1202115.6133510843, 857392.001575167 1202115.6133510843, 856928.1703598177 1202587.7104834607, 856000.5079291187 1202587.7104834607, 855536.6767137692 1203059.814127528, 855536.6767137692 1204004.040961433, 855072.8454984198 1204476.1641566216, 855072.8454984198 1204948.2938742074, 854609.0142830702 1205420.430116867, 854609.0142830702 1205892.5728872723, 855072.8454984198 1206364.722188106, 855072.8454984198 1207309.0403917667, 856464.3391444681 1208725.5667424032, 856464.3391444681 1209197.7552820372, 856928.1703598177 1209669.950370845))",gridfinder
modelled_grid_original.3461,"MULTILINESTRING ((959898.7001673 1199283.1671524062, 959434.8689519536 1199283.1671524062))",gridfinder
modelled_grid_original.3462,"MULTILINESTRING ((959898.7001673 1199283.1671524062, 959898.7001673 1199755.2252708501))",gridfinder
modelled_grid_original.3463,"MULTILINESTRING ((535956.9693382878 1198811.1155269188, 535493.1381229383 1199283.1671524062, 535493.1381229383 1199755.2252708501, 535029.3069075888 1200227.2898849298, 535029.3069075888 1200699.360997314, 534565.4756922426 1201171.4386106862, 534565.4756922426 1201643.5227277162, 533637.8132615436 1202587.7104834607, 533637.8132615436 1203059.814127528, 532710.1508308448 1204004.040961433, 532710.1508308448 1205420.430116867))",openstreetmap
modelled_grid_original.3464,"MULTILINESTRING ((862494.1449440048 1198811.1155269188, 862030.3137286555 1198811.1155269188))",gridfinder
modelled_grid_original.3465,"MULTILINESTRING ((862957.9761593543 1198811.1155269188, 862494.1449440048 1198811.1155269188))",gridfinder
modelled_grid_original.3466,"MULTILINESTRING ((862957.9761593543 1198811.1155269188, 862957.9761593543 1199283.1671524062))",gridfinder
modelled_grid_original.3467,"MULTILINESTRING ((1264171.977436265 1198811.1155269188, 1263244.315005566 1199755.2252708501))",openstreetmap
modelled_grid_original.3468,"MULTILINESTRING ((1265563.4710823132 1198811.1155269188, 1264171.977436265 1198811.1155269188))",openstreetmap
modelled_grid_original.3469,"MULTILINESTRING ((535493.1381229383 1198339.0703917148, 535029.3069075888 1198339.0703917148))",gridfinder
modelled_grid_original.3521,"MULTILINESTRING ((728910.7549234834 1194090.9557963521, 728446.9237081371 1194090.9557963521))",gridfinder
modelled_grid_original.3470,"MULTILINESTRING ((818430.1794858472 1198339.0703917148, 818430.1794858472 1198811.1155269188, 817966.3482704976 1199283.1671524062, 817966.3482704976 1200227.2898849298, 817502.5170551483 1200699.360997314, 817502.5170551483 1203531.9242859588, 816574.8546244523 1204476.1641566216))",gridfinder
modelled_grid_original.3471,"MULTILINESTRING ((818430.1794858472 1197867.0317441232, 817966.3482704976 1197867.0317441232))",gridfinder
modelled_grid_original.3472,"MULTILINESTRING ((818430.1794858472 1197867.0317441232, 818430.1794858472 1198339.0703917148))",gridfinder
modelled_grid_original.3473,"MULTILINESTRING ((863421.8073747037 1197867.0317441232, 863421.8073747037 1198339.0703917148, 862957.9761593543 1198811.1155269188))",gridfinder
modelled_grid_original.3474,"MULTILINESTRING ((729374.5861388328 1197394.9995814608, 728910.7549234834 1197394.9995814608))",openstreetmap
modelled_grid_original.3475,"MULTILINESTRING ((729374.5861388328 1197394.9995814608, 729838.4173541822 1197867.0317441232, 729838.4173541822 1198339.0703917148, 730766.0797848812 1199283.1671524062, 731229.9110002307 1199283.1671524062, 734940.5607230231 1203059.814127528, 734940.5607230231 1203531.9242859588, 736332.0543690685 1204948.2938742074, 736332.0543690685 1205892.5728872723, 737259.7167997673 1206836.8780220444, 737723.5480151168 1206836.8780220444, 739115.041661162 1208253.384749268))",gridfinder
modelled_grid_original.3476,"MULTILINESTRING ((742825.6913839545 1197394.9995814608, 742361.8601686051 1197867.0317441232, 741898.0289532588 1197867.0317441232, 741434.1977379093 1198339.0703917148, 740506.5353072104 1198339.0703917148, 740042.7040918609 1198811.1155269188, 739578.8728765115 1198811.1155269188, 739115.041661162 1199283.1671524062))",gridfinder
modelled_grid_original.3477,"MULTILINESTRING ((743289.522599304 1197394.9995814608, 742825.6913839545 1197394.9995814608))",gridfinder
modelled_grid_original.3478,"MULTILINESTRING ((743289.522599304 1197394.9995814608, 744681.0162453523 1198811.1155269188, 745144.8474607018 1198811.1155269188, 746072.5098913977 1199755.2252708501))",gridfinder
modelled_grid_original.3479,"MULTILINESTRING ((836519.5968844603 1197394.9995814608, 836519.5968844603 1199755.2252708501, 836055.7656691108 1200227.2898849298))",openstreetmap
modelled_grid_original.3480,"MULTILINESTRING ((863421.8073747037 1197394.9995814608, 863421.8073747037 1197867.0317441232))",openstreetmap
modelled_grid_original.3481,"MULTILINESTRING ((863885.6385900533 1197394.9995814608, 863421.8073747037 1197394.9995814608))",openstreetmap
modelled_grid_original.3482,"MULTILINESTRING ((1372244.650612588 1197394.9995814608, 1367142.5072437504 1197394.9995814608, 1366678.676028401 1197867.0317441232, 1366214.8448130514 1197867.0317441232, 1365751.0135977021 1198339.0703917148, 1365287.1823823524 1198339.0703917148, 1362968.0263056085 1200699.360997314, 1362504.195090259 1200699.360997314, 1362040.3638749095 1201171.4386106862))",openstreetmap
modelled_grid_original.3483,"MULTILINESTRING ((729374.5861388328 1196922.9739010597, 729374.5861388328 1197394.9995814608))",openstreetmap
modelled_grid_original.3484,"MULTILINESTRING ((742825.6913839545 1196922.9739010597, 742825.6913839545 1197394.9995814608))",gridfinder
modelled_grid_original.3485,"MULTILINESTRING ((816574.8546244523 1196922.9739010597, 816111.023409103 1197394.9995814608, 815647.1921937534 1197394.9995814608))",gridfinder
modelled_grid_original.3486,"MULTILINESTRING ((816574.8546244523 1196922.9739010597, 817038.6858397988 1197394.9995814608, 817502.5170551483 1197394.9995814608, 817966.3482704976 1197867.0317441232))",gridfinder
modelled_grid_original.3487,"MULTILINESTRING ((836055.7656691108 1196922.9739010597, 835591.9344537614 1196922.9739010597))",gridfinder
modelled_grid_original.3488,"MULTILINESTRING ((836519.5968844603 1196922.9739010597, 836055.7656691108 1196922.9739010597))",openstreetmap
modelled_grid_original.3489,"MULTILINESTRING ((836519.5968844603 1196922.9739010597, 836519.5968844603 1197394.9995814608))",openstreetmap
modelled_grid_original.3490,"MULTILINESTRING ((836983.4280998097 1196922.9739010597, 836519.5968844603 1196922.9739010597))",openstreetmap
modelled_grid_original.3491,"MULTILINESTRING ((836983.4280998097 1196922.9739010597, 837911.0905305056 1196922.9739010597, 839302.5841765539 1198339.0703917148, 839766.4153919035 1198339.0703917148, 840230.2466072529 1198811.1155269188, 840694.0778226024 1198811.1155269188, 842549.4026839971 1200699.360997314, 843477.0651146959 1199755.2252708501, 843940.8963300453 1199755.2252708501, 844404.7275453917 1200227.2898849298, 844868.558760741 1200227.2898849298, 845332.3899760906 1200699.360997314, 845332.3899760906 1201643.5227277162))",gridfinder
modelled_grid_original.3492,"MULTILINESTRING ((870843.1068202887 1196922.9739010597, 870843.1068202887 1197394.9995814608))",openstreetmap
modelled_grid_original.3493,"MULTILINESTRING ((871306.9380356383 1196922.9739010597, 870843.1068202887 1196922.9739010597))",openstreetmap
