FID,osm_id,power_substation,tags,geom
all_transmission_substations.1173834,553780052,substation,{},POINT (834712.8099166838 639604.5543885493)
all_transmission_substations.1173842,553780050,substation,{},POINT (834747.8978213522 639634.2248835253)
all_transmission_substations.1182513,553844535,substation,{},POINT (791088.4603275444 694403.5662792724)
all_transmission_substations.1184936,655273150,substation,{},POINT (809583.2185213115 698013.3731733789)
all_transmission_substations.1209005,565560387,substation,"{""fixme"":""name,operator"",""substation"":""transmission""}",POINT (841368.5714921543 714261.2073337821)
all_transmission_substations.1209006,553840946,substation,{},POINT (824652.4820336008 717391.3523366391)
all_transmission_substations.1210875,548724506,substation,{},POINT (839100.2823277346 720271.3711917503)
all_transmission_substations.1216736,564835228,substation,{},POINT (827048.5520299993 764393.1996043813)
all_transmission_substations.1225678,655273149,substation,{},POINT (900047.909350212 707724.1884303051)
all_transmission_substations.1229642,553852547,substation,{},POINT (867546.1899265591 729886.6898566616)
all_transmission_substations.1319189,565180232,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""132000""}",POINT (692150.4450068842 842860.3850804613)
all_transmission_substations.1319619,563721604,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""132000""}",POINT (703651.5922364412 850465.3995418339)
all_transmission_substations.1327782,565183240,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""132000""}",POINT (708845.7191804881 816568.7188985317)
all_transmission_substations.1359422,836634509,substation,{},POINT (741164.3412427125 833933.0145686299)
all_transmission_substations.1359485,215459565,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""330000;132000""}",POINT (740810.1013697969 834149.9275166414)
all_transmission_substations.1365815,215441025,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""132000""}",POINT (743669.2333677757 841245.5448329373)
all_transmission_substations.1403722,563715917,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""330000""}",POINT (738088.1755573356 873530.362448238)
all_transmission_substations.1719111,565081403,substation,"{""location"":""outdoor"",""fixme"":""name,operator"",""substation"":""transmission"",""voltage"":""330000;132000""}",POINT (953967.1075091357 851509.0956826762)
all_transmission_substations.2048883,564402807,substation,{},POINT (669935.0434933985 1022674.4505413129)
all_transmission_substations.2262836,564393583,substation,{},POINT (728221.835427676 1072225.791623332)
all_transmission_substations.2378899,565486405,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""330000""}",POINT (787444.3646724344 1003407.490017316)
all_transmission_substations.2397182,565501265,substation,{},POINT (828440.5481767202 1008844.9882196673)
all_transmission_substations.2398234,565097671,substation,{},POINT (833835.7853579123 1006133.8916323493)
all_transmission_substations.2407559,573675500,substation,{},POINT (835718.9482791213 1016353.1201722092)
all_transmission_substations.2408249,565847438,substation,{},POINT (832229.8777844149 1019017.0933247316)
all_transmission_substations.2408250,565847437,substation,{},POINT (832387.9802743634 1018908.9612156608)
all_transmission_substations.2444272,565103184,substation,{},POINT (875344.4297205013 984087.366188286)
all_transmission_substations.2446117,565107472,substation,{},POINT (934751.7931279497 994682.322185539)
all_transmission_substations.2502987,564441786,substation,{},POINT (802457.4753965646 1028413.8504399118)
all_transmission_substations.2580310,567522757,substation,{},POINT (860708.0321754488 1078855.1942599604)
all_transmission_substations.2607223,696219802,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""132000""}",POINT (928370.9067404818 1072360.3711416365)
all_transmission_substations.2692240,566748625,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""132000""}",POINT (687838.0518711694 1128010.547027533)
all_transmission_substations.2798254,563728565,substation,{},POINT (759610.8840203079 1115723.2994898704)
all_transmission_substations.2798256,556550171,substation,"{""fixme"":""name,operator"",""substation"":""transmission"",""voltage"":""330000""}",POINT (760364.9526339355 1115784.892213123)
all_transmission_substations.2945365,567187477,substation,{},POINT (820725.7444578711 1171023.962715553)
all_transmission_substations.2967967,39469643,substation,"{""fixme"":""name,operator"",""substation"":""transmission""}",POINT (825131.3241407243 1185833.7176765448)
all_transmission_substations.2998584,563721937,substation,{},POINT (858515.9485833915 1246479.6968645782)
