PeriodEnd,PeriodStart,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-12-31T01:00:00Z,2021-12-31T00:00:00Z,23.3,-138,1.4,10.6,0,0,0,0,0,0,27.1,44.8,0.0,1011.9,24,0.7,159,0.15
2021-12-31T02:00:00Z,2021-12-31T01:00:00Z,22.7,-121,21.9,10.6,0,0,0,0,0,0,26.9,46.7,0.0,1011.7,357,0.8,148,0.15
2021-12-31T03:00:00Z,2021-12-31T02:00:00Z,21.6,-114,27.2,11.0,0,0,0,0,0,0,26.7,50.9,0.0,1011.5,348,1.0,134,0.15
2021-12-31T04:00:00Z,2021-12-31T03:00:00Z,20.8,-112,10.5,11.2,0,0,0,0,0,0,26.6,54.3,0.0,1011.7,352,1.1,121,0.15
2021-12-31T05:00:00Z,2021-12-31T04:00:00Z,20.3,-112,25.0,11.2,0,0,0,0,0,0,26.6,55.7,0.0,1012.2,358,1.2,107,0.15
2021-12-31T06:00:00Z,2021-12-31T05:00:00Z,21.0,-113,32.2,11.6,2,0,0,2,2,2,26.5,55.0,0.0,1012.9,3,1.2,93,0.15
2021-12-31T07:00:00Z,2021-12-31T06:00:00Z,23.7,-116,24.3,12.5,83,9,2,85,85,90,26.3,49.5,0.0,1013.6,13,1.1,80,0.15
2021-12-31T08:00:00Z,2021-12-31T07:00:00Z,26.6,-120,4.1,11.3,150,389,162,312,343,540,26.1,38.5,0.0,1014.4,42,0.8,67,0.15
2021-12-31T09:00:00Z,2021-12-31T08:00:00Z,28.6,-127,0.0,9.3,189,585,342,531,578,739,26.0,29.9,0.0,1014.9,98,0.7,54,0.15
2021-12-31T10:00:00Z,2021-12-31T09:00:00Z,30.2,-138,0.0,8.8,251,584,425,677,726,774,27.1,26.4,0.0,1014.9,129,0.6,43,0.15
2021-12-31T11:00:00Z,2021-12-31T10:00:00Z,31.8,-156,0.0,9.0,275,617,505,780,832,807,28.1,24.4,0.0,1014.5,162,0.5,35,0.15
2021-12-31T12:00:00Z,2021-12-31T11:00:00Z,33.3,180,0.0,8.4,281,633,537,818,871,820,27.9,21.5,0.0,1013.4,172,0.8,32,0.15
2021-12-31T13:00:00Z,2021-12-31T12:00:00Z,34.7,156,0.0,7.9,272,622,509,781,834,809,27.9,19.3,0.0,1012.1,176,0.7,35,0.15
2021-12-31T14:00:00Z,2021-12-31T13:00:00Z,35.3,138,0.0,8.4,253,575,418,671,719,768,28.2,19.3,0.0,1011.0,191,0.6,43,0.15
2021-12-31T15:00:00Z,2021-12-31T14:00:00Z,35.3,127,0.0,8.8,218,482,282,500,540,677,28.8,19.8,0.0,1010.4,202,0.5,54,0.15
2021-12-31T16:00:00Z,2021-12-31T15:00:00Z,35.2,120,0.0,9.0,159,325,131,290,316,487,29.2,20.3,0.0,1010.3,200,0.6,67,0.15
2021-12-31T17:00:00Z,2021-12-31T16:00:00Z,33.8,116,7.2,12.0,70,84,20,90,96,124,29.5,26.9,0.0,1010.6,201,1.0,80,0.15
2021-12-31T18:00:00Z,2021-12-31T17:00:00Z,32.4,113,49.4,14.0,1,0,0,1,1,1,29.5,32.9,0.0,1011.2,206,1.5,93,0.15
2021-12-31T19:00:00Z,2021-12-31T18:00:00Z,31.6,112,21.5,13.2,0,0,0,0,0,0,29.2,32.7,0.0,1011.8,213,1.7,107,0.15
2021-12-31T20:00:00Z,2021-12-31T19:00:00Z,29.2,112,30.3,12.0,0,0,0,0,0,0,28.8,34.5,0.0,1012.6,218,1.9,121,0.15
2021-12-31T21:00:00Z,2021-12-31T20:00:00Z,27.2,114,31.7,11.2,0,0,0,0,0,0,28.4,37.0,0.0,1013.0,219,1.8,135,0.15
2021-12-31T22:00:00Z,2021-12-31T21:00:00Z,27.1,121,29.1,12.5,0,0,0,0,0,0,27.3,40.3,0.0,1013.2,216,1.8,148,0.15
2021-12-31T23:00:00Z,2021-12-31T22:00:00Z,28.1,139,30.3,11.8,0,0,0,0,0,0,26.5,36.5,0.0,1013.4,210,1.6,159,0.15
2022-01-01T00:00:00Z,2021-12-31T23:00:00Z,28.4,-180,30.9,9.9,0,0,0,0,0,0,26.3,31.5,0.0,1013.1,174,0.7,165,0.15
2022-01-01T01:00:00Z,2022-01-01T00:00:00Z,26.1,-138,32.0,11.8,0,0,0,0,0,0,25.9,41.3,0.0,1012.5,87,0.7,159,0.15
2022-01-01T02:00:00Z,2022-01-01T01:00:00Z,23.7,-121,33.2,13.4,0,0,0,0,0,0,25.7,52.3,0.0,1011.9,68,1.0,148,0.15
2022-01-01T03:00:00Z,2022-01-01T02:00:00Z,22.9,-114,35.3,12.5,0,0,0,0,0,0,25.7,52.1,0.0,1011.9,53,1.3,135,0.15
2022-01-01T04:00:00Z,2022-01-01T03:00:00Z,22.0,-112,39.5,12.0,0,0,0,0,0,0,25.7,53.1,0.0,1012.2,42,1.6,121,0.15
2022-01-01T05:00:00Z,2022-01-01T04:00:00Z,21.9,-112,41.4,11.2,0,0,0,0,0,0,25.6,50.7,0.0,1012.8,35,1.6,107,0.15
2022-01-01T06:00:00Z,2022-01-01T05:00:00Z,22.1,-113,34.6,11.6,2,0,0,2,2,2,25.5,51.6,0.0,1013.4,33,1.2,93,0.15
2022-01-01T07:00:00Z,2022-01-01T06:00:00Z,22.3,-116,11.8,11.2,76,7,2,78,79,82,25.4,49.7,0.0,1014.2,50,0.4,80,0.15
2022-01-01T08:00:00Z,2022-01-01T07:00:00Z,24.0,-120,0.6,9.6,170,259,106,277,298,435,25.4,40.0,0.0,1015.2,180,0.6,67,0.15
2022-01-01T09:00:00Z,2022-01-01T08:00:00Z,26.0,-127,0.0,9.0,240,414,243,483,518,638,25.7,34.2,0.0,1015.7,182,1.7,54,0.15
