PeriodEnd,PeriodStart,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2022-04-30T01:00:00Z,2022-04-30T00:00:00Z,23.3,-37,63.0,23.1,0,0,0,0,0,0,50.2,98.8,0.0,1001.7,230,1.2,155,0.13
2022-04-30T02:00:00Z,2022-04-30T01:00:00Z,23.1,-56,42.9,22.8,0,0,0,0,0,0,50.5,98.5,0.0,1001.7,234,1.2,144,0.13
2022-04-30T03:00:00Z,2022-04-30T02:00:00Z,23.1,-66,51.1,22.8,0,0,0,0,0,0,50.4,98.5,0.0,1001.7,244,1.3,131,0.13
2022-04-30T04:00:00Z,2022-04-30T03:00:00Z,23.0,-71,74.1,22.8,0,0,0,0,0,0,50.5,98.8,0.0,1002.1,249,1.3,117,0.13
2022-04-30T05:00:00Z,2022-04-30T04:00:00Z,23.0,-74,75.6,22.7,0,0,0,0,0,0,51.3,98.2,0.0,1002.7,257,1.1,102,0.13
2022-04-30T06:00:00Z,2022-04-30T05:00:00Z,23.7,-76,52.7,23.0,14,0,0,14,14,14,52.0,95.9,0.0,1003.2,267,1.0,88,0.13
2022-04-30T07:00:00Z,2022-04-30T06:00:00Z,24.8,-77,50.9,23.7,86,0,0,86,86,86,52.7,93.9,0.0,1003.9,260,0.6,73,0.13
2022-04-30T08:00:00Z,2022-04-30T07:00:00Z,25.6,-77,61.0,24.2,175,0,0,175,174,175,53.2,92.0,0.0,1004.6,216,0.5,59,0.13
2022-04-30T09:00:00Z,2022-04-30T08:00:00Z,26.7,-75,35.5,24.0,390,32,24,414,412,424,53.5,85.7,0.0,1004.9,195,1.1,44,0.13
2022-04-30T10:00:00Z,2022-04-30T09:00:00Z,28.6,-70,38.3,23.2,480,25,21,501,500,506,53.6,72.8,0.0,1004.9,195,1.9,30,0.13
2022-04-30T11:00:00Z,2022-04-30T10:00:00Z,30.4,-55,59.9,22.6,367,0,0,367,366,367,53.5,63.1,0.0,1004.6,193,2.3,17,0.13
2022-04-30T12:00:00Z,2022-04-30T11:00:00Z,31.1,4,22.8,22.2,432,304,299,731,723,732,52.6,59.4,0.0,1003.7,187,2.5,10,0.13
2022-04-30T13:00:00Z,2022-04-30T12:00:00Z,31.4,57,17.8,22.3,435,309,292,727,718,744,51.1,58.9,0.0,1002.0,181,2.4,18,0.13
2022-04-30T14:00:00Z,2022-04-30T13:00:00Z,31.3,71,23.0,22.7,436,187,160,596,590,630,50.3,60.3,0.0,1000.7,173,2.1,32,0.13
2022-04-30T15:00:00Z,2022-04-30T14:00:00Z,31.1,75,19.9,22.9,340,202,143,483,477,558,50.2,61.8,0.0,999.8,176,2.0,46,0.13
2022-04-30T16:00:00Z,2022-04-30T15:00:00Z,30.8,76,12.2,23.4,217,249,114,332,325,496,50.4,65.0,0.0,999.5,188,1.9,60,0.13
2022-04-30T17:00:00Z,2022-04-30T16:00:00Z,30.3,76,2.9,24.0,101,194,53,154,148,284,51.0,68.9,0.0,999.8,195,1.9,75,0.13
2022-04-30T18:00:00Z,2022-04-30T17:00:00Z,29.6,76,32.2,24.0,12,6,1,13,12,14,51.1,71.9,0.0,1000.3,197,2.2,89,0.13
2022-04-30T19:00:00Z,2022-04-30T18:00:00Z,28.9,74,31.6,23.7,0,0,0,0,0,0,51.1,73.8,0.0,1000.9,201,2.4,104,0.13
2022-04-30T20:00:00Z,2022-04-30T19:00:00Z,28.0,70,35.2,23.8,0,0,0,0,0,0,51.2,77.8,0.0,1001.7,209,2.4,118,0.13
2022-04-30T21:00:00Z,2022-04-30T20:00:00Z,27.2,65,41.9,23.9,0,0,0,0,0,0,51.1,82.2,0.0,1002.4,214,2.2,132,0.13
2022-04-30T22:00:00Z,2022-04-30T21:00:00Z,26.2,55,39.7,23.8,0,0,0,0,0,0,52.8,87.0,0.0,1003.3,218,2.0,145,0.13
2022-04-30T23:00:00Z,2022-04-30T22:00:00Z,25.2,34,42.6,23.7,0,0,0,0,0,0,54.8,91.4,0.0,1003.5,225,1.7,155,0.13
2022-05-01T00:00:00Z,2022-04-30T23:00:00Z,24.8,-2,44.6,23.8,0,0,0,0,0,0,55.4,93.9,0.0,1003.1,230,1.5,160,0.13
2022-05-01T01:00:00Z,2022-05-01T00:00:00Z,24.6,-37,54.7,23.7,0,0,0,0,0,0,55.8,95.0,0.0,1002.5,226,1.3,154,0.13
2022-05-01T02:00:00Z,2022-05-01T01:00:00Z,24.5,-56,69.3,23.7,0,0,0,0,0,0,56.2,95.6,0.0,1002.2,220,1.2,143,0.13
2022-05-01T03:00:00Z,2022-05-01T02:00:00Z,24.3,-65,95.4,23.7,0,0,0,0,0,0,56.6,96.2,0.0,1002.2,220,1.2,130,0.13
2022-05-01T04:00:00Z,2022-05-01T03:00:00Z,24.0,-71,96.7,23.5,0,0,0,0,0,0,56.8,97.0,0.0,1002.5,223,1.0,117,0.13
2022-05-01T05:00:00Z,2022-05-01T04:00:00Z,23.5,-74,95.8,23.2,0,0,0,0,0,0,56.8,98.5,0.0,1003.0,225,0.8,102,0.13
