PeriodEnd,PeriodStart,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-12-31T01:00:00Z,2021-12-31T00:00:00Z,19.0,-135,2.6,-1.8,0,0,0,0,0,0,12.5,24.5,0.0,969.9,77,2.8,163,0.24
2021-12-31T02:00:00Z,2021-12-31T01:00:00Z,18.2,-117,11.0,-2.0,0,0,0,0,0,0,12.3,25.3,0.0,969.6,74,2.8,151,0.24
2021-12-31T03:00:00Z,2021-12-31T02:00:00Z,17.4,-111,12.5,-2.3,0,0,0,0,0,0,12.3,25.9,0.0,969.4,69,3.0,138,0.24
2021-12-31T04:00:00Z,2021-12-31T03:00:00Z,17.0,-110,0.9,-2.4,0,0,0,0,0,0,12.3,26.4,0.0,969.5,68,3.3,124,0.24
2021-12-31T05:00:00Z,2021-12-31T04:00:00Z,17.0,-111,0.0,-2.8,0,0,0,0,0,0,12.2,25.9,0.0,969.8,69,3.5,110,0.24
2021-12-31T06:00:00Z,2021-12-31T05:00:00Z,17.8,-112,8.7,-3.5,0,0,0,0,0,0,12.1,23.3,0.0,970.5,73,3.7,96,0.24
2021-12-31T07:00:00Z,2021-12-31T06:00:00Z,20.0,-116,0.0,-2.8,52,50,9,61,67,71,12.0,21.3,0.0,971.2,76,4.0,83,0.24
2021-12-31T08:00:00Z,2021-12-31T07:00:00Z,22.5,-121,0.0,-1.3,147,296,105,252,287,432,11.9,20.4,0.0,972.0,77,4.4,70,0.24
2021-12-31T09:00:00Z,2021-12-31T08:00:00Z,23.9,-128,0.0,-1.2,205,506,271,476,538,683,11.8,19.0,0.0,972.5,77,4.7,58,0.24
2021-12-31T10:00:00Z,2021-12-31T09:00:00Z,25.5,-139,0.0,-1.3,200,709,483,683,768,816,12.1,17.1,0.0,972.3,77,4.8,47,0.24
2021-12-31T11:00:00Z,2021-12-31T10:00:00Z,27.8,-155,0.0,-1.0,212,763,591,803,896,846,12.4,15.2,0.0,971.8,75,4.5,39,0.24
2021-12-31T12:00:00Z,2021-12-31T11:00:00Z,29.6,-177,0.0,-0.8,214,784,638,852,948,855,12.5,13.9,0.0,970.8,72,4.2,36,0.24
2021-12-31T13:00:00Z,2021-12-31T12:00:00Z,30.7,160,0.0,-0.8,188,816,645,833,931,861,12.6,13.0,0.0,969.5,67,3.7,38,0.24
2021-12-31T14:00:00Z,2021-12-31T13:00:00Z,31.4,142,0.0,-0.8,178,779,552,730,823,844,12.7,12.6,0.0,968.6,63,3.3,45,0.24
2021-12-31T15:00:00Z,2021-12-31T14:00:00Z,31.5,130,0.0,-0.8,162,695,399,561,642,793,12.8,12.4,0.0,968.2,59,3.0,55,0.24
2021-12-31T16:00:00Z,2021-12-31T15:00:00Z,31.2,122,0.0,-0.7,129,544,216,345,408,655,12.9,12.8,0.0,968.1,54,2.8,67,0.24
2021-12-31T17:00:00Z,2021-12-31T16:00:00Z,29.4,117,2.8,-0.5,70,230,49,119,145,188,12.9,14.5,0.0,968.5,50,2.5,80,0.24
2021-12-31T18:00:00Z,2021-12-31T17:00:00Z,26.7,113,45.3,-0.4,2,0,0,2,2,2,12.8,16.9,0.0,969.1,48,2.3,93,0.24
2021-12-31T19:00:00Z,2021-12-31T18:00:00Z,25.1,111,1.9,-0.6,0,0,0,0,0,0,12.8,18.3,0.0,969.8,49,2.4,107,0.24
2021-12-31T20:00:00Z,2021-12-31T19:00:00Z,23.9,110,0.0,-1.4,0,0,0,0,0,0,12.7,18.7,0.0,970.5,52,2.7,120,0.24
2021-12-31T21:00:00Z,2021-12-31T20:00:00Z,22.4,111,9.9,-1.7,0,0,0,0,0,0,12.7,20.0,0.0,970.9,56,3.0,134,0.24
2021-12-31T22:00:00Z,2021-12-31T21:00:00Z,22.0,115,0.9,-1.4,0,0,0,0,0,0,12.9,21.0,0.0,971.0,61,3.2,148,0.24
2021-12-31T23:00:00Z,2021-12-31T22:00:00Z,22.0,128,8.0,-1.2,0,0,0,0,0,0,13.1,21.3,0.0,971.0,69,3.3,160,0.24
2022-01-01T00:00:00Z,2021-12-31T23:00:00Z,21.3,172,9.9,-0.7,0,0,0,0,0,0,13.1,23.0,0.0,970.8,74,3.2,168,0.24
2022-01-01T01:00:00Z,2022-01-01T00:00:00Z,20.2,-135,0.9,-0.2,0,0,0,0,0,0,13.2,25.6,0.0,970.5,73,3.0,163,0.25
2022-01-01T02:00:00Z,2022-01-01T01:00:00Z,19.5,-117,5.2,0.1,0,0,0,0,0,0,13.2,27.2,0.0,970.1,66,3.1,151,0.25
2022-01-01T03:00:00Z,2022-01-01T02:00:00Z,18.8,-111,12.5,-0.1,0,0,0,0,0,0,13.2,28.1,0.0,969.9,62,3.5,138,0.25
2022-01-01T04:00:00Z,2022-01-01T03:00:00Z,18.0,-110,1.2,-0.5,0,0,0,0,0,0,13.2,28.6,0.0,970.1,62,3.8,124,0.25
2022-01-01T05:00:00Z,2022-01-01T04:00:00Z,17.8,-110,0.0,-0.8,0,0,0,0,0,0,13.2,28.4,0.0,970.4,66,4.0,110,0.25
2022-01-01T06:00:00Z,2022-01-01T05:00:00Z,17.6,-112,0.0,-0.8,0,0,0,0,0,0,13.2,28.6,0.0,970.9,71,4.1,97,0.25
2022-01-01T07:00:00Z,2022-01-01T06:00:00Z,18.1,-116,0.0,-0.2,46,175,30,76,95,98,13.1,29.1,0.0,971.6,77,4.3,83,0.25
2022-01-01T08:00:00Z,2022-01-01T07:00:00Z,20.1,-120,0.0,0.6,108,536,186,294,354,598,12.9,27.3,0.0,972.3,82,4.8,70,0.25
2022-01-01T09:00:00Z,2022-01-01T08:00:00Z,22.4,-128,0.0,1.1,142,707,375,517,598,792,12.7,24.4,0.0,972.9,83,5.2,58,0.25
