PeriodEnd,PeriodStart,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-12-31T01:00:00Z,2021-12-31T00:00:00Z,15.9,-129,23.2,-2.5,0,0,0,0,0,0,12.7,28.3,0.0,970.6,39,2.7,161,0.29
2021-12-31T02:00:00Z,2021-12-31T01:00:00Z,15.4,-115,23.9,-3.0,0,0,0,0,0,0,12.5,28.3,0.0,970.3,39,2.7,148,0.29
2021-12-31T03:00:00Z,2021-12-31T02:00:00Z,14.6,-111,31.8,-3.4,0,0,0,0,0,0,12.3,28.7,0.0,970.2,38,2.7,135,0.29
2021-12-31T04:00:00Z,2021-12-31T03:00:00Z,14.0,-110,31.4,-3.6,0,0,0,0,0,0,12.1,29.6,0.0,970.4,38,2.5,121,0.29
2021-12-31T05:00:00Z,2021-12-31T04:00:00Z,13.4,-111,32.1,-3.8,0,0,0,0,0,0,12.0,30.0,0.0,970.8,39,2.3,107,0.29
2021-12-31T06:00:00Z,2021-12-31T05:00:00Z,13.1,-113,30.1,-3.7,2,0,0,2,2,2,11.8,30.9,0.0,971.5,41,2.2,93,0.29
2021-12-31T07:00:00Z,2021-12-31T06:00:00Z,16.0,-117,1.3,-1.3,75,62,14,89,96,111,11.8,30.6,0.0,972.3,43,2.5,80,0.29
2021-12-31T08:00:00Z,2021-12-31T07:00:00Z,19.6,-122,0.0,0.4,175,278,110,285,318,453,11.8,27.8,0.0,973.0,44,2.7,67,0.29
2021-12-31T09:00:00Z,2021-12-31T08:00:00Z,21.1,-130,0.0,0.3,247,430,244,492,546,651,11.9,25.0,0.0,973.4,49,2.7,55,0.29
2021-12-31T10:00:00Z,2021-12-31T09:00:00Z,22.9,-142,0.0,0.2,313,460,324,638,698,715,12.5,22.3,0.0,973.2,53,3.0,45,0.29
2021-12-31T11:00:00Z,2021-12-31T10:00:00Z,25.0,-160,0.0,0.5,347,491,387,734,800,754,13.0,20.1,0.0,972.7,56,3.1,38,0.29
2021-12-31T12:00:00Z,2021-12-31T11:00:00Z,26.5,178,0.0,0.8,342,534,434,775,847,778,12.9,18.7,0.0,971.7,57,3.0,36,0.29
2021-12-31T13:00:00Z,2021-12-31T12:00:00Z,27.6,156,0.0,0.8,250,691,536,786,873,825,12.8,17.6,0.0,970.4,57,2.9,39,0.29
2021-12-31T14:00:00Z,2021-12-31T13:00:00Z,28.4,139,0.0,1.0,218,674,460,677,760,804,12.7,17.0,0.0,969.6,54,2.8,47,0.29
2021-12-31T15:00:00Z,2021-12-31T14:00:00Z,28.7,128,0.0,1.1,185,583,313,499,569,730,12.6,16.9,0.0,969.1,52,2.7,58,0.29
2021-12-31T16:00:00Z,2021-12-31T15:00:00Z,28.0,121,0.0,2.7,134,409,145,279,327,522,12.5,19.6,0.0,969.2,51,2.5,70,0.29
