PeriodEnd,PeriodStart,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2022-04-30T01:00:00Z,2022-04-30T00:00:00Z,24.0,-33,67.7,21.5,0,0,0,0,0,0,42.2,85.9,0.0,980.7,140,2.0,152,0.16
2022-04-30T02:00:00Z,2022-04-30T01:00:00Z,23.7,-52,57.9,21.5,0,0,0,0,0,0,42.4,87.5,0.0,980.1,137,1.6,142,0.16
2022-04-30T03:00:00Z,2022-04-30T02:00:00Z,23.5,-63,45.0,21.7,0,0,0,0,0,0,42.4,89.7,0.0,979.7,127,1.3,129,0.16
2022-04-30T04:00:00Z,2022-04-30T03:00:00Z,23.4,-69,79.4,22.0,0,0,0,0,0,0,42.4,91.9,0.0,979.9,111,1.1,116,0.16
2022-04-30T05:00:00Z,2022-04-30T04:00:00Z,23.5,-73,80.6,22.0,0,0,0,0,0,0,42.6,91.6,0.0,980.5,112,1.3,102,0.16
2022-04-30T06:00:00Z,2022-04-30T05:00:00Z,24.2,-76,52.1,22.2,14,0,0,14,14,14,43.3,88.4,0.0,981.1,126,1.8,87,0.16
2022-04-30T07:00:00Z,2022-04-30T06:00:00Z,24.8,-78,18.2,22.2,133,62,20,153,150,205,44.3,85.2,0.0,981.9,143,2.2,73,0.16
2022-04-30T08:00:00Z,2022-04-30T07:00:00Z,25.5,-79,42.0,22.0,236,1,0,236,235,237,45.2,81.0,0.0,982.7,160,2.6,59,0.16
2022-04-30T09:00:00Z,2022-04-30T08:00:00Z,26.4,-78,39.1,21.8,374,20,15,389,386,395,45.7,75.4,0.0,983.0,172,2.6,44,0.16
2022-04-30T10:00:00Z,2022-04-30T09:00:00Z,28.3,-76,29.4,21.9,498,74,65,563,558,575,47.0,68.4,0.0,982.8,182,2.0,30,0.16
2022-04-30T11:00:00Z,2022-04-30T10:00:00Z,30.3,-66,21.9,22.0,491,223,215,706,696,716,48.4,61.4,0.0,982.6,186,1.5,15,0.16
2022-04-30T12:00:00Z,2022-04-30T11:00:00Z,31.4,3,8.6,22.0,356,506,502,859,841,860,48.8,57.7,0.0,981.9,191,1.6,7,0.16
