PeriodEnd,PeriodStart,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-12-31T01:00:00Z,2021-12-31T00:00:00Z,24.0,-142,4.1,11.3,0,0,0,0,0,0,26.6,44.9,0.0,1013.1,217,0.5,158,0.14
2021-12-31T02:00:00Z,2021-12-31T01:00:00Z,23.4,-124,0.0,11.2,0,0,0,0,0,0,26.7,46.0,0.0,1012.9,196,1.7,147,0.14
2021-12-31T03:00:00Z,2021-12-31T02:00:00Z,22.5,-116,0.0,13.0,0,0,0,0,0,0,27.7,55.2,0.0,1013.0,196,2.2,134,0.14
2021-12-31T04:00:00Z,2021-12-31T03:00:00Z,22.2,-113,0.0,15.7,0,0,0,0,0,0,29.3,66.7,0.0,1013.3,201,2.2,120,0.14
2021-12-31T05:00:00Z,2021-12-31T04:00:00Z,22.1,-112,0.0,18.2,0,0,0,0,0,0,31.0,79.1,0.0,1013.8,209,2.1,106,0.14
2021-12-31T06:00:00Z,2021-12-31T05:00:00Z,22.6,-113,0.0,20.3,4,1,0,4,4,4,32.6,86.9,0.0,1014.5,218,1.8,93,0.14
2021-12-31T07:00:00Z,2021-12-31T06:00:00Z,24.2,-115,0.0,21.9,76,139,32,108,116,162,34.0,87.0,0.0,1015.3,221,1.6,79,0.14
2021-12-31T08:00:00Z,2021-12-31T07:00:00Z,26.2,-119,0.0,23.0,154,385,162,316,338,545,35.2,82.6,0.0,1016.2,219,1.8,66,0.14
2021-12-31T09:00:00Z,2021-12-31T08:00:00Z,28.1,-126,0.0,23.0,208,523,315,523,554,709,36.2,73.7,0.0,1016.5,219,1.8,53,0.14
2021-12-31T10:00:00Z,2021-12-31T09:00:00Z,29.9,-136,11.4,21.6,374,284,210,584,602,637,38.1,61.2,0.0,1016.4,222,1.2,42,0.14
2021-12-31T11:00:00Z,2021-12-31T10:00:00Z,31.3,-154,7.0,19.8,373,400,337,710,735,726,39.6,50.6,0.0,1015.7,221,0.6,33,0.14
2021-12-31T12:00:00Z,2021-12-31T11:00:00Z,32.6,-180,0.0,18.2,312,563,489,801,836,803,39.3,42.5,0.0,1014.5,198,0.3,30,0.14
2021-12-31T13:00:00Z,2021-12-31T12:00:00Z,33.9,154,0.0,17.2,296,569,477,772,807,797,38.9,37.0,0.0,1013.1,188,0.4,33,0.14
2021-12-31T14:00:00Z,2021-12-31T13:00:00Z,34.4,136,0.0,17.0,276,518,387,664,695,749,38.6,35.5,0.0,1011.9,208,0.3,42,0.14
2021-12-31T15:00:00Z,2021-12-31T14:00:00Z,34.6,126,0.0,17.0,237,424,257,495,520,647,38.4,35.1,0.0,1011.3,239,0.3,53,0.14
2021-12-31T16:00:00Z,2021-12-31T15:00:00Z,34.7,119,0.0,16.4,172,274,117,288,305,454,38.2,33.8,0.0,1011.1,261,0.3,65,0.14
2021-12-31T17:00:00Z,2021-12-31T16:00:00Z,34.1,115,3.1,18.0,77,77,18,96,100,129,38.0,38.7,0.0,1011.4,270,0.3,79,0.14
2021-12-31T18:00:00Z,2021-12-31T17:00:00Z,33.4,113,50.8,19.2,2,0,0,2,2,2,37.6,43.1,0.0,1012.0,208,0.1,92,0.14
2021-12-31T19:00:00Z,2021-12-31T18:00:00Z,32.5,112,31.2,19.3,0,0,0,0,0,0,36.9,45.8,0.0,1012.7,114,0.5,106,0.14
2021-12-31T20:00:00Z,2021-12-31T19:00:00Z,30.1,113,31.3,19.2,0,0,0,0,0,0,36.1,52.3,0.0,1013.7,118,1.0,120,0.14
2021-12-31T21:00:00Z,2021-12-31T20:00:00Z,28.4,116,32.2,18.0,0,0,0,0,0,0,35.4,53.0,0.0,1014.3,134,1.5,133,0.14
